line,y,pop
ind85,-1.0162615,1
ind86,0.592038499999999,1
ind87,-1.7430615,1
ind88,1.0875385,1
ind89,2.5971385,1
ind90,-1.8987615,1
ind91,2.1225385,1
ind92,-0.1071615,1
ind93,3.1279385,1
ind94,1.2622385,1
ind95,-1.0905615,1
ind96,-1.1807615,1
ind97,1.2871385,1
ind98,-2.1616615,1
ind99,1.2146385,1
ind100,-2.6240615,1
ind101,-1.0159615,1
ind102,-1.7909615,1
ind103,-2.3762615,1
ind104,-2.0387615,1
ind105,-1.7731615,1
ind106,1.2327385,1
ind107,1.5622385,1
ind108,2.0457385,1
ind109,-0.672261500000001,1
ind110,-0.630461500000001,1
ind111,-1.8445615,1
ind112,-3.7843615,1
ind113,2.3177385,1
ind114,0.2327385,1
ind115,1.9489385,1
ind116,3.3196385,1
ind117,-1.7293615,1
ind118,-0.6558615,1
ind119,-0.1329615,1
ind120,-0.8090615,1
ind121,1.7647385,1
ind122,1.7151385,1
ind123,-0.137761500000002,1
ind124,-0.9911615,1
ind125,0.8554385,1
ind126,-0.0283615000000008,1
ind127,0.738638499999999,1
ind128,2.4880385,1
ind129,1.0635385,1
ind130,2.1513385,1
ind131,-2.1407615,1
ind132,-1.6135615,1
ind133,-0.2511615,1
ind134,-1.8123615,1
ind135,2.1035385,1
ind136,-1.2613615,1
ind137,-0.252261500000001,1
ind138,0.198338499999998,1
ind139,1.2381385,1
ind140,-2.4001615,1
ind141,-0.7588615,1
ind142,0.314538499999999,1
ind143,0.263538499999999,1
ind144,1.6722385,1
ind145,-0.323261500000001,1
ind146,1.4128385,1
ind147,0.165938499999999,1
ind148,-1.0006615,1
ind149,-0.164461500000002,1
ind150,-0.9645615,1
ind151,1.3521385,1
ind152,0.575638499999998,1
ind153,-1.1381615,1
ind154,-0.0741615000000007,1
ind155,-2.3044615,1
ind156,-0.691861500000002,1
ind157,-0.0180615000000017,1
ind158,-0.5971615,1
ind159,-0.835961500000002,1
ind160,-1.2954615,1
ind161,-1.1458615,1
ind162,2.6420385,1
ind163,2.3478385,1
ind164,1.1808385,1
ind165,2.3385385,1
ind166,0.3326385,1
ind167,1.6855385,1
ind168,0.108438499999998,1
ind169,-2.6979615,1
ind170,-1.9143615,1
ind171,-1.5148615,1
ind172,-0.671661500000001,1
ind173,-1.4277615,1
ind174,1.1136385,1
ind175,-0.664761500000001,1
ind176,-2.0300615,1
ind177,1.6413385,1
ind178,1.2827385,1
ind179,0.1070385,1
ind180,0.951838499999999,1
ind181,-3.3270615,1
ind182,0.570338499999998,1
ind183,-0.345961500000001,1
ind184,-0.447961500000002,1
ind185,0.888038499999999,1
