"bin","gamma1","gamma2","gamma3","gamma4","gamma5","gamma6","gamma7","gamma8","gamma9","gamma10","gamma11","gamma12","gamma13","gamma14","gamma15","gamma16","gamma17","gamma18","gamma19","gamma20","stderr1","stderr2","stderr3","stderr4","stderr5","stderr6","stderr7","stderr8","stderr9","stderr10","stderr11","stderr12","stderr13","stderr14","stderr15","stderr16","stderr17","stderr18","stderr19","stderr20"
21,4.07020456893401e-07,-4.12612326020994e-07,1.23336284754908e-07,-1.29536054415309e-07,-3.65304977025893e-07,3.59757993948182e-07,9.55105339023113e-08,-9.74778061522532e-08,-5.93983500290894e-07,5.99399581963133e-07,-3.41245716992432e-07,3.43430830128651e-07,5.76430081427177e-07,-5.70837029715037e-07,-4.30881429882347e-07,4.35957768667776e-07,-1.19795237836066e-07,1.18612988272977e-07,-6.77473522464925e-09,8.99229359736074e-09,0.000245560605231751,0.000245560606399581,0.000245560619726876,0.000245560619163081,0.000245560704796659,0.000245560705214403,0.000245560673688552,0.000245560673627565,0.000245560632773436,0.000245560630888479,0.000245560630369503,0.000245560630795055,0.000245560655335717,0.000245560658288441,0.000245560657185616,0.000245560655770281,0.000245560656407808,0.000245560655654934,0.000245560602688103,0.00024556060282311
22,2.71445366832499e-07,-2.75010921930349e-07,-1.49920026027426e-07,1.45966851753733e-07,-1.32642003024227e-07,1.29105067521255e-07,8.18234228719274e-08,-8.30778196013273e-08,-3.78743962270356e-07,3.82197431462093e-07,-1.9441085151784e-07,1.9580414917756e-07,3.67551247919591e-07,-3.63984935871121e-07,-1.17372360552435e-07,1.2060919866741e-07,-7.63854815500984e-08,7.56316407152556e-08,1.59456061509472e-07,-1.58042076085616e-07,0.000196084889432829,0.000196084889939341,0.000196084893133307,0.000196084892594449,0.000196084915084768,0.000196084915584677,0.000196084912499409,0.000196084912496381,0.000196084889913484,0.000196084888953735,0.000196084893080691,0.000196084893447023,0.000196084901401376,0.000196084902904791,0.000196084905226237,0.000196084904269305,0.000196084901947243,0.000196084901563908,0.000196084870818766,0.000196084871055244
23,2.53047076668375e-07,-2.56370961384016e-07,-1.999806542406e-07,1.96295422407642e-07,-1.23651658560863e-07,1.20354453493392e-07,7.62775121467716e-08,-7.74468872127573e-08,-3.19623760144556e-07,3.22843156364183e-07,-8.23476402691705e-08,8.36465000532289e-08,2.11804313995701e-07,-2.08479721319875e-07,-5.92677010047746e-08,6.22851487871009e-08,-2.30602765340126e-08,2.23575302993329e-08,9.26899799071006e-08,-9.13718334522034e-08,0.000189323070871611,0.000189323071327509,0.000189323070902944,0.000189323070350875,0.000189323093960261,0.000189323094410217,0.000189323091633246,0.000189323091630521,0.000189323072198958,0.000189323071495213,0.000189323081032621,0.000189323080958779,0.000189323074437407,0.000189323075400927,0.000189323084526583,0.000189323083816522,0.000189323081428248,0.000189323081315377,0.000189323052802684,0.000189323052795068
24,1.92279010163632e-07,-1.95585634665494e-07,-1.98942228185055e-07,1.95276132381659e-07,-1.29932654010809e-07,1.26652570180243e-07,7.58814308304159e-08,-7.7044733848422e-08,-2.36815098285253e-07,2.40017777635984e-07,-2.10229730547266e-07,2.11521845670127e-07,2.10704491818241e-07,-2.0739716270607e-07,-5.89599456034724e-08,6.19617247108045e-08,-7.63658423132062e-09,6.93748700154396e-09,1.65433897362762e-07,-1.64122595672251e-07,0.000188830893522831,0.000188830893853547,0.000188830887556473,0.000188830887008698,0.000188830915730801,0.000188830916230712,0.000188830908125518,0.000188830908122814,0.000188830896504128,0.000188830895744275,0.000188830892907976,0.000188830892871096,0.000188830891063443,0.000188830892019467,0.000188830901074136,0.000188830900369599,0.000188830884278439,0.00018883088391983,0.000188830880739232,0.000188830880718978
25,2.69966359671789e-07,-2.73430942046559e-07,9.99961763036808e-08,-1.03837400656742e-07,-1.36139542698639e-07,1.32702768488689e-07,1.60414981353325e-07,-1.61633855567584e-07,-3.77576699292797e-07,3.80932370227554e-07,-2.29248568824728e-07,2.30602408111246e-07,2.20769849082281e-07,-2.17304528291713e-07,-6.17764634865529e-08,6.49216381631878e-08,-8.00138403521294e-09,7.26889070102428e-09,1.73336675551754e-07,-1.71962732754004e-07,0.000193288517920656,0.000193288518033575,0.00019328850797465,0.000193288507458574,0.000193288540128796,0.000193288540664954,0.000193288529092047,0.000193288529017625,0.000193288509188495,0.000193288508406669,0.000193288516284903,0.000193288516082497,0.000193288513672955,0.000193288514698296,0.000193288524409464,0.000193288523653845,0.000193288506396012,0.000193288506011403,0.000193288502600198,0.000193288502578476
26,3.50357907285297e-07,-3.5758746479443e-07,2.08661325304171e-07,-2.16676817965403e-07,-4.01374540821988e-08,3.29659263054406e-08,3.34737010474376e-07,-3.37280437066705e-07,-1.25531222989667e-06,1.26231450941971e-06,-6.68257426970484e-07,6.71082485020564e-07,4.6067903029522e-07,-4.53447936673858e-07,9.78408047144955e-08,-9.12777544195557e-08,-3.52617649531701e-07,3.51089159224556e-07,3.61700432532723e-07,-3.5883341917554e-07,0.000279213157855796,0.000279213159584667,0.000279213146324681,0.000279213144769063,0.000279213260578019,0.000279213261242889,0.000279213209979008,0.000279213209754676,0.000279213152884937,0.00027921315077323,0.000279213190964841,0.000279213189681451,0.00027921316350111,0.000279213166591816,0.000279213217713009,0.000279213217177173,0.000279213172901642,0.000279213174431249,0.000279213130124437,0.000279213130058957
27,3.28612292506529e-07,-3.35393130486093e-07,1.90285821373268e-07,-1.9780381390554e-07,-3.76462434371426e-08,3.09198331699353e-08,3.1396092005517e-07,-3.16346483365022e-07,-1.10302796273958e-06,1.10959564117014e-06,-6.26780767399189e-07,6.29430481240623e-07,4.90308409744899e-07,-4.83526136982464e-07,9.17681261281114e-08,-8.56124278798448e-08,-3.30731773477536e-07,3.29298151804185e-07,3.88128846258595e-07,-3.85439783779043e-07,0.000270409384041845,0.000270409385612281,0.000270409362615366,0.000270409361134079,0.000270409477350571,0.000270409477954511,0.000270409431388471,0.000270409431184697,0.000270409391054729,0.000270409390430225,0.000270409414116767,0.000270409412950989,0.000270409348136067,0.000270409352193486,0.000270409438413726,0.000270409437926994,0.000270409397708886,0.000270409399098318,0.000270409346817765,0.000270409347550009
28,1.85191402967548e-06,-1.87015908049662e-06,7.05101373989558e-07,-7.2532977845325e-07,5.92369642793574e-08,-7.73355008829534e-08,6.62943839532364e-07,-6.69362600890775e-07,-2.96784048539735e-06,2.98551192262406e-06,-1.54845433086972e-06,1.55558384147467e-06,1.35511810831424e-06,-1.33686928627284e-06,9.86222782467947e-07,-9.6965980971166e-07,-6.26681267774367e-07,6.22823900296328e-07,1.04431020496652e-06,-1.03707482687099e-06,0.000443557973310526,0.000443557982654797,0.00044355787717142,0.000443557869987794,0.000443558311110211,0.000443558312356421,0.00044355810294227,0.000443558105573917,0.000443557931320659,0.000443557928564395,0.000443558110192193,0.000443558107704272,0.000443557579313956,0.000443557592515791,0.000443558016899983,0.000443558013368533,0.000443558102570816,0.000443558114531984,0.000443557736082597,0.000443557739314373
29,3.59088136686576e-07,-3.62625797598148e-07,3.27305466932519e-08,-3.66527916036908e-08,1.14861087987958e-08,-1.49953731608457e-08,1.28545407478742e-07,-1.29789990997897e-07,-4.01336027759955e-07,4.04762478315222e-07,-3.00246667609508e-07,3.01629062161469e-07,3.40819959013492e-08,-3.05435816626333e-08,1.91229563403018e-07,-1.88018048917857e-07,-1.21514046629184e-07,1.20766104577595e-07,1.11663625892256e-07,-1.10260703968554e-07,0.000195316320938285,0.000195316321736114,0.00019531631321398,0.000195316312828491,0.000195316349780627,0.00019531634988703,0.000195316332006641,0.000195316332231335,0.000195316324027928,0.000195316323526688,0.000195316332625658,0.000195316332413235,0.00019531627905749,0.000195316279792098,0.000195316324660081,0.00019531632435856,0.000195316331974932,0.000195316332996195,0.000195316298181414,0.000195316298437435
30,3.66874488257632e-07,-3.70488859102549e-07,5.93071961475861e-08,-6.33144900143174e-08,1.17351698813213e-08,-1.53205283673201e-08,1.31332745351907e-07,-1.32604316170087e-07,-4.10038469557639e-07,4.13539218429315e-07,-3.06757121363879e-07,3.0816949141191e-07,-1.31793576979139e-07,1.35408718142598e-07,-8.69001845743086e-08,9.01813362691355e-08,-1.22576017289196e-07,1.2181185640915e-07,2.32988527396986e-07,-2.31555184279104e-07,0.000197422557202109,0.000197422558026028,0.000197422558637778,0.000197422558179286,0.00019742258698763,0.000197422587097512,0.000197422568632413,0.000197422568864455,0.000197422560392787,0.000197422559875155,0.000197422569271672,0.000197422569052303,0.000197422515199057,0.000197422515582348,0.000197422571232479,0.00019742257131174,0.000197422568514917,0.000197422569077272,0.00019742252480282,0.000197422524685737
