"bin","initial","conv","fn1","fn0","lrt","beta","sigma2","xi","tau_k"
43,1,0,7664.63737756783,7664.63736755657,-2.00225222215522e-05,0.000546767355414607,1.06925606998067,3.57731811506172e-08,3.82506910878157e-08
44,1,0,7664.63738062423,7664.63736755657,-2.61353106907336e-05,0.000546770106741616,1.06925607489527,3.33986977724184e-08,3.57117604867493e-08
45,1,0,7664.63737854117,7664.63736755657,-2.19691901293118e-05,0.000546769172306102,1.06925607167801,3.50706271261134e-08,3.74994809921521e-08
46,1,0,7664.63737808975,7664.63736755657,-2.10663474717876e-05,0.000546770938928168,1.06925607084739,3.54711611343462e-08,3.79277543829057e-08
47,1,0,7664.63737970724,7664.63736755657,-2.43013291765237e-05,0.000546770621621628,1.06925607371368,3.40276493210577e-08,3.63842707107401e-08
48,1,0,7664.63737783213,7664.63736755657,-2.05511259991908e-05,0.000546767013839055,1.06925607072399,3.55951662435417e-08,3.80603475943367e-08
49,1,0,7664.63738384291,7664.63736755657,-3.25726796290837e-05,0.000546764423110247,1.0692559979323,1.5721631694242e-07,1.68104489863508e-07
50,1,0,7664.63738089398,7664.63736755657,-2.66748211288359e-05,0.000546772900122782,1.06925597892054,1.80685995597055e-07,1.93199581099362e-07
51,1,0,7664.63737790922,7664.63736755657,-2.07052962650778e-05,0.000546774711324232,1.06925607058166,3.55105467549918e-08,3.79698676874489e-08
52,1,0,7664.63737784543,7664.63736755657,-2.05777087103343e-05,0.000546776080601028,1.06925607032817,3.56929846183201e-08,3.81649404712687e-08
53,1,0,7664.63738063158,7664.63736755657,-2.61500208580401e-05,0.000546770095178914,1.06925607463655,3.3463846981509e-08,3.57814216656865e-08
54,1,0,7664.63737936985,7664.63736755657,-2.36265586863738e-05,0.000546773136867268,1.0692560725927,3.44355809087483e-08,3.68204539999364e-08
55,1,0,7664.63738259476,7664.63736755657,-3.00763676932547e-05,0.000546849996969447,1.0692554715786,9.5008375084699e-07,1.01588224905107e-06
56,1,0,7664.36718408453,7664.63736755657,0.540366944076595,0.00105289826755461,1.06732899435316,0.00289011836853849,0.00308470713185377
57,1,0,7664.1213137841,7664.63736755657,1.03210754494285,0.000936218152617286,1.06653608621316,0.00398853710201538,0.00425391875049947
58,1,0,7663.93231448085,7664.63736755657,1.41010615144478,0.00124421951525166,1.06597134349102,0.0047959376685137,0.00511233211980475
59,1,0,7664.52043466032,7664.63736755657,0.233865792513825,0.000898247205910209,1.06804034325381,0.0018051839770317,0.00192800931446521
60,1,0,7664.63738123384,7664.63736755657,-2.73545265372377e-05,0.000546810833192893,1.06925596874686,1.94248768249605e-07,2.07701654872617e-07
61,1,0,7664.63738097195,7664.63736755657,-2.68307503574761e-05,0.000546772614143452,1.06925605925424,5.79359813666741e-08,6.1948399125157e-08
62,1,0,7664.63737764272,7664.63736755657,-2.01722905330826e-05,0.000546768466517598,1.06925607003191,3.59855425772228e-08,3.8477759834087e-08
63,1,0,7664.63737708255,7664.63736755657,-1.90519567695446e-05,0.000546766405626159,1.06925606908838,3.66084215173834e-08,3.91437768872077e-08
64,1,0,7664.63737882876,7664.63736755657,-2.25443745875964e-05,0.000546767100512295,1.0692560720992,3.48948131095014e-08,3.73114908021013e-08
65,1,0,7664.63737840052,7664.63736755657,-2.16879052459262e-05,0.000546771691962598,1.06925605028358,6.78462662796822e-08,7.25450307087009e-08
66,1,0,7664.63737915444,7664.63736755657,-2.31957328651333e-05,0.000546760658112911,1.06925605247621,6.51708460167671e-08,6.96843215484233e-08
67,1,0,7664.63737736859,7664.63736755657,-1.96240325749386e-05,0.000546681157050715,1.0692559028327,2.90046758131864e-07,3.10134208229983e-07
68,1,0,7664.63738460245,7664.63736755657,-3.40917486028047e-05,0.000546650947612741,1.06925561001729,7.47711194927888e-07,7.99494389849375e-07
69,1,0,7664.63737906584,7664.63736755657,-2.30185414693551e-05,0.000546772339604032,1.06925594781331,2.25942518793777e-07,2.41590382084166e-07
70,1,0,7663.6461884753,7664.63736755657,1.98235816255328,8.68362407964205e-05,1.06510431054439,0.00638801613904864,0.00680390352552782
71,1,0,7663.11842293437,7664.63736755657,3.0378892444005,-2.4671791287931e-05,1.06389070355125,0.00825195007311122,0.00877917296895211
72,1,0,7663.41308829212,7664.63736755657,2.44855852889668,0.000472394028439663,1.06451554204891,0.00730964037896388,0.00778122579019537
73,1,0,7663.64874419866,7664.63736755657,1.97724671582,0.000131128868222081,1.06502524048846,0.00662507740212682,0.0070558746534548
74,1,0,7663.61116626285,7664.63736755657,2.05240258744379,0.000194586803233895,1.06494287383571,0.00675018047955837,0.00718855659881058
75,1,0,7663.67883594554,7664.63736755657,1.9170632220721,0.000698325181744236,1.06514131359929,0.00641594268976256,0.00683388562455146
76,1,0,7664.47485617678,7664.63736755657,0.325022759578133,0.00043935996522378,1.06777160204157,0.00230817478565034,0.00246460348866582
77,1,0,7664.37453465797,7664.63736755657,0.525665797204056,0.000396552420424645,1.06732887730308,0.00297870134785817,0.00317925396543063
78,1,0,7664.58945240301,7664.63736755657,0.0958303071147384,0.000454067296751542,1.06847714603139,0.00121310785565543,0.00129617801943898
